"ID","year","loan_limit","Gender","approv_in_adv","loan_type","loan_purpose","Credit_Worthiness","open_credit","business_or_commercial","loan_amount","rate_of_interest","Interest_rate_spread","Upfront_charges","term","Neg_ammortization","interest_only","lump_sum_payment","property_value","construction_type","occupancy_type","Secured_by","total_units","income","credit_type","Credit_Score","co-applicant_credit_type","age","submission_of_application","LTV","Region","Security_Type","Status","dtir1"
44716,2019,"cf","Female","nopre","type1","p1","l1","nopc","nob/c",336500,NA,NA,NA,360,"neg_amm","not_int","not_lpsm",NA,"sb","pr","home","1U",4440,"EQUI",537,"EXP","25-34","not_inst",NA,"North","direct",1,NA
173524,2019,"cf","Sex Not Available","pre","type2","p4","l1","nopc","b/c",166500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",188000,"sb","pr","home","1U",3420,"EXP",698,"CIB","35-44","to_inst",88.56382979,"south","direct",1,44
62455,2019,"cf","Sex Not Available","nopre","type1","p2","l1","nopc","nob/c",86500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",1740,"EQUI",661,"EXP","55-64","to_inst",NA,"south","direct",1,NA
151652,2019,"cf","Male","nopre","type1","p4","l1","nopc","nob/c",176500,NA,NA,NA,324,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",4260,"EQUI",730,"EXP","25-34","to_inst",NA,"North","direct",1,NA
67740,2019,"cf","Male","nopre","type1","p1","l1","nopc","nob/c",276500,NA,NA,NA,360,"neg_amm","not_int","not_lpsm",NA,"sb","pr","home","1U",7620,"EQUI",688,"EXP","25-34","not_inst",NA,"North","direct",1,NA
130699,2019,"cf","Female","nopre","type1","p4","l1","nopc","nob/c",366500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",4500,"EQUI",705,"EXP","35-44","not_inst",NA,"south","direct",1,NA
79644,2019,"cf","Sex Not Available","nopre","type1","p2","l1","nopc","nob/c",106500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",138000,"sb","ir","home","1U",4920,"CIB",625,"CIB","45-54","to_inst",77.17391304,"south","direct",1,43
126352,2019,"cf","Sex Not Available","nopre","type1","p4","l1","nopc","nob/c",596500,NA,NA,NA,360,"not_neg","not_int","lpsm",878000,"sb","pr","home","1U",8220,"CIB",511,"CIB","55-64","to_inst",67.93849658,"south","direct",1,49
83940,2019,"cf","Sex Not Available","nopre","type1","p4","l1","nopc","nob/c",316500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",388000,"sb","pr","home","1U",6360,"EXP",524,"CIB","65-74","to_inst",81.57216495,"south","direct",1,48
127355,2019,"cf","Sex Not Available","nopre","type1","p3","l1","nopc","nob/c",76500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",58000,"sb","ir","home","1U",2460,"CIB",882,"CIB","55-64","to_inst",131.8965517,"south","direct",1,38
